,venue,venue capacity,attendance,referee,home team,away team,month,home team status,away team status,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards
77,RZD Arena (Moscow),27084.0,3335,LevnikovK.(Rus),Lokomotiv Moscow,Krasnodar,03,3,3,3,2,True,False,False,2.28,3.55,3.25,12,3,10
78,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,9686,LyubimovA.(Rus),Fakel Voronezh,Sochi,03,3,3,3,0,True,False,False,3.45,3.55,2.13,6,0,9
79,Yekaterinburg Arena (Yekaterinburg),25000.0,5981,AmelinA.(Rus),Ural,Dynamo Moscow,03,3,3,0,1,False,False,True,2.65,3.3,2.75,6,9,2
80,Rostov Arena (Rostov),43472.0,4394,FrolovA.(Rus),FK Rostov,Pari NN,03,3,3,2,1,True,False,False,2.03,3.3,4.0,11,1,2
81,VEB Arena (Moscow),30457.0,2680,LevnikovK.(Rus),CSKA Moscow,Krylya Sovetov,03,3,3,4,0,True,False,False,1.8,3.75,4.6,7,5,0
82,Gazprom Arena (Saint Petersburg),67800.0,15965,FedorovA.(Rus),Zenit,Khimki,03,3,3,3,2,True,False,False,1.08,13.0,30.0,15,7,4
83,Krasnodar Stadium (Krasnodar),35179.0,13256,LyubimovA.(Rus),Krasnodar,Dynamo Moscow,03,3,3,3,1,True,False,False,2.36,3.55,3.0,5,3,5
84,Akhmat-Arena (Groznyj),30597.0,6322,KukuyanP.(Rus),Akhmat Grozny,Lokomotiv Moscow,03,3,3,0,1,False,False,True,2.36,3.45,3.05,6,3,8
85,Otkrytiye Arena (Moscow),45360.0,5002,BezborodovV.(Rus),Spartak Moscow,Fakel Voronezh,03,3,3,3,2,True,False,False,1.39,5.2,7.6,12,2,8
86,Stadion Eduarda Strelcova (Moscow),13450.0,207,GalimovR.(Rus),Torpedo Moscow,Ural,03,3,3,0,1,False,False,True,4.5,3.7,1.83,9,3,4
87,Fisht Olympic Stadium (Sochi),47659.0,4419,BezborodovV.(Rus),Sochi,CSKA Moscow,03,3,3,2,0,True,False,False,2.7,3.5,2.6,7,7,4
88,Krasnodar Stadium (Krasnodar),35179.0,7965,KukulyakE.(Rus),Krasnodar,Torpedo Moscow,03,3,3,2,2,False,True,False,1.43,4.8,7.6,11,5,6
89,VTB Arena (Moscow),26121.0,4943,SidenkovI.(Rus),Dynamo Moscow,Krylya Sovetov,03,3,3,1,0,True,False,False,1.78,4.0,4.4,11,5,1
90,Rostov Arena (Rostov),43472.0,4907,KarasevS.(Rus),FK Rostov,Lokomotiv Moscow,03,3,3,1,3,False,False,True,2.44,3.2,3.15,12,1,4
91,Akhmat-Arena (Groznyj),30597.0,4100,TurbinE.(Rus),Akhmat Grozny,Orenburg,03,3,3,3,1,True,False,False,2.34,3.55,3.05,10,5,8
92,Gazprom Arena (Saint Petersburg),67800.0,19705,GalimovR.(Rus),Zenit,Pari NN,03,3,3,3,0,True,False,False,1.18,7.4,19.0,12,4,1
93,Otkrytiye Arena (Moscow),45360.0,4281,MeshkovV.(Rus),Spartak Moscow,Ural,03,3,3,2,2,False,True,False,1.71,4.0,4.8,10,3,6
94,VTB Arena (Moscow),26121.0,25048,BezborodovV.(Rus),Dynamo Moscow,CSKA Moscow,11,3,3,2,1,True,False,False,2.9,3.35,2.5,10,6,6
95,Arena Khimki (Khimki),18636.0,1897,IvanovS.(Rus),Khimki,Sochi,11,3,3,0,2,False,False,True,4.2,4.1,1.79,9,5,6
96,Gazovik Stadium (Orenburg),4800.0,4852,LevnikovK.(Rus),Orenburg,Krasnodar,11,3,3,5,1,True,False,False,1.8,4.1,4.2,11,6,8
97,RZD Arena (Moscow),27084.0,14273,MoskalevV.(Rus),Lokomotiv Moscow,Spartak Moscow,11,3,3,1,2,False,False,True,4.5,3.95,1.81,15,1,8
98,Luzhniki Arena (Moscow),8300.0,7888,KarasevS.(Rus),Torpedo Moscow,Zenit,11,3,3,0,2,False,False,True,18.0,8.8,1.15,7,3,2
99,Samara Arena (Samara),44918.0,4046,LyubimovA.(Rus),Krylya Sovetov,FK Rostov,11,3,3,1,3,False,False,True,2.55,3.35,2.85,14,6,5
100,Yekaterinburg Arena (Yekaterinburg),25000.0,2298,KukuyanP.(Rus),Ural,Fakel Voronezh,11,3,3,2,0,True,False,False,1.9,3.6,4.2,7,2,3
101,Rostov Arena (Rostov),43472.0,5214,MoskalevV.(Rus),FK Rostov,Dynamo Moscow,11,3,3,2,1,True,False,False,2.6,3.6,2.65,11,3,8
102,Luzhniki Arena (Moscow),8300.0,3905,AmelinA.(Rus),Torpedo Moscow,Krylya Sovetov,11,3,3,0,2,False,False,True,4.6,3.85,1.78,9,2,3
103,Yekaterinburg Arena (Yekaterinburg),25000.0,3551,BezborodovV.(Rus),Ural,Lokomotiv Moscow,11,3,3,2,2,False,True,False,2.09,3.65,3.5,11,2,3
104,VEB Arena (Moscow),30457.0,7733,IvanovS.(Rus),CSKA Moscow,Pari NN,11,3,3,0,1,False,False,True,1.34,5.2,10.0,8,1,7
105,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,0,KarasevS.(Rus),Fakel Voronezh,Krasnodar,11,3,3,3,3,False,True,False,3.1,3.3,2.41,14,1,4
106,Gazprom Arena (Saint Petersburg),67800.0,0,KukuyanP.(Rus),Zenit,Akhmat Grozny,11,3,3,1,2,False,False,True,1.16,8.6,17.0,8,5,2
107,Fisht Olympic Stadium (Sochi),47659.0,6172,ChistyakovA.(Rus),Sochi,Spartak Moscow,11,3,3,1,1,False,True,False,4.0,4.0,1.85,5,9,2
108,Krasnodar Stadium (Krasnodar),35179.0,33757,MoskalevV.(Rus),Krasnodar,Zenit,10,3,3,0,1,False,False,True,7.0,4.8,1.47,5,2,6
109,Otkrytiye Arena (Moscow),45360.0,13457,IvanovS.(Rus),Spartak Moscow,Torpedo Moscow,10,3,3,1,0,True,False,False,1.25,6.8,11.0,9,7,2
110,Samara Arena (Samara),44918.0,3422,MeshkovV.(Rus),Krylya Sovetov,Pari NN,10,3,3,2,1,True,False,False,1.79,3.75,4.7,13,0,11
111,Fisht Olympic Stadium (Sochi),47659.0,1664,FrolovA.(Rus),Sochi,Ural,10,3,3,2,2,False,True,False,2.04,3.75,3.55,7,3,6
112,RZD Arena (Moscow),27084.0,0,LyubimovA.(Rus),Lokomotiv Moscow,CSKA Moscow,10,3,3,0,1,False,False,True,3.8,3.85,1.98,7,0,6
113,Akhmat-Arena (Groznyj),30597.0,0,BezborodovV.(Rus),Akhmat Grozny,FK Rostov,10,3,3,1,2,False,False,True,2.45,3.55,2.85,6,2,5
114,VTB Arena (Moscow),26121.0,0,BobrovskiyY.(Rus),Dynamo Moscow,Khimki,10,3,3,6,1,True,False,False,1.33,5.8,8.6,12,4,3
115,Gazprom Arena (Saint Petersburg),67800.0,20184,KukulyakE.(Rus),Zenit,Sochi,10,3,3,7,0,True,False,False,1.3,6.2,9.4,13,5,0
116,Yekaterinburg Arena (Yekaterinburg),25000.0,2491,LevnikovK.(Rus),Ural,Krylya Sovetov,10,3,3,2,1,True,False,False,2.65,3.3,2.8,9,4,3
117,Akhmat-Arena (Groznyj),30597.0,7120,ChistyakovA.(Rus),Akhmat Grozny,Torpedo Moscow,10,3,3,1,0,True,False,False,1.51,4.6,6.4,9,3,3
118,Otkrytiye Arena (Moscow),45360.0,0,LyubimovA.(Rus),Spartak Moscow,Khimki,10,3,3,5,0,True,False,False,1.36,5.6,7.8,17,4,4
119,Gazovik Stadium (Orenburg),4800.0,7781,BezborodovV.(Rus),Orenburg,CSKA Moscow,10,3,3,2,2,False,True,False,3.15,3.75,2.2,12,4,4
120,RZD Arena (Moscow),27084.0,8315,KukuyanP.(Rus),Lokomotiv Moscow,Dynamo Moscow,10,3,3,1,3,False,False,True,2.75,3.55,2.55,14,4,6
121,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,13980,ShadyhanovP.(Rus),Fakel Voronezh,FK Rostov,10,3,3,1,1,False,True,False,3.15,3.2,2.42,10,2,4
122,VEB Arena (Moscow),30457.0,17102,KarasevS.(Rus),CSKA Moscow,Spartak Moscow,10,3,3,2,2,False,True,False,2.2,3.6,3.4,9,1,8
123,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,0,ChistyakovA.(Rus),Pari NN,Zenit,10,3,3,0,3,False,False,True,9.2,5.2,1.35,9,2,1
124,Samara Arena (Samara),44918.0,4302,ShadyhanovP.(Rus),Krylya Sovetov,Sochi,10,3,3,2,0,True,False,False,2.5,3.55,2.8,8,3,6
125,VTB Arena (Moscow),26121.0,11565,KazartsevV.(Rus),Dynamo Moscow,Orenburg,10,3,3,3,2,True,False,False,1.86,4.1,3.9,9,2,2
126,Krasnodar Stadium (Krasnodar),35179.0,20139,BobrovskiyY.(Rus),Krasnodar,Akhmat Grozny,10,3,3,2,3,False,False,True,2.25,3.6,3.15,12,3,7
127,Arena Khimki (Khimki),18636.0,2446,LevnikovK.(Rus),Khimki,Fakel Voronezh,10,3,3,0,0,False,True,False,2.9,3.4,2.5,8,3,8
128,Luzhniki Arena (Moscow),8300.0,5405,KukulyakE.(Rus),Torpedo Moscow,Lokomotiv Moscow,10,3,3,0,1,False,False,True,4.6,3.95,1.75,7,4,6
129,Rostov Arena (Rostov),43472.0,8325,MeshkovV.(Rus),FK Rostov,Krasnodar,10,3,3,3,2,True,False,False,2.14,3.6,3.4,17,2,8
130,Gazovik Stadium (Orenburg),4800.0,4512,MoskalevV.(Rus),Orenburg,Akhmat Grozny,10,3,3,2,1,True,False,False,2.45,3.65,2.8,9,1,3
131,Luzhniki Arena (Moscow),8300.0,4487,BezborodovV.(Rus),Torpedo Moscow,Pari NN,10,3,3,0,0,False,True,False,3.1,3.15,2.48,9,2,7
132,Otkrytiye Arena (Moscow),45360.0,12222,KazartsevV.(Rus),Spartak Moscow,Krylya Sovetov,10,3,3,5,2,True,False,False,1.76,3.95,4.6,12,7,1
133,Fisht Olympic Stadium (Sochi),47659.0,3366,TurbinE.(Rus),Sochi,Lokomotiv Moscow,10,3,3,4,0,True,False,False,2.07,3.8,3.4,10,5,6
134,VEB Arena (Moscow),30457.0,9521,LevnikovK.(Rus),CSKA Moscow,Dynamo Moscow,10,3,3,1,1,False,True,False,1.99,3.65,3.8,6,3,4
135,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,15967,KukuyanP.(Rus),Fakel Voronezh,Zenit,10,3,3,1,1,False,True,False,8.0,5.2,1.38,10,3,1
136,Samara Arena (Samara),44918.0,3685,SuchyA.(Rus),Krylya Sovetov,Krasnodar,10,3,3,0,0,False,True,False,1.94,3.7,3.95,7,1,3
137,Akhmat-Arena (Groznyj),30597.0,0,BezborodovV.(Rus),Akhmat Grozny,Dynamo Moscow,10,3,3,2,1,True,False,False,2.55,3.5,2.75,10,3,7
138,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,0,KukulyakE.(Rus),Pari NN,Spartak Moscow,10,3,3,1,2,False,False,True,5.0,4.1,1.68,9,2,6
139,Gazprom Arena (Saint Petersburg),67800.0,0,MoskalevV.(Rus),Zenit,FK Rostov,10,3,3,3,1,True,False,False,1.25,6.6,11.0,10,2,1
140,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,0,LevnikovK.(Rus),Fakel Voronezh,Torpedo Moscow,10,3,3,2,2,False,True,False,1.93,3.45,4.3,10,7,5
141,RZD Arena (Moscow),27084.0,4918,IvanovS.(Rus),Lokomotiv Moscow,Ural,10,3,3,2,4,False,False,True,1.81,3.95,4.3,11,5,2
142,Arena Khimki (Khimki),18636.0,4230,KukuyanP.(Rus),Khimki,CSKA Moscow,10,3,3,1,2,False,False,True,7.2,5.0,1.43,6,6,3
143,Otkrytiye Arena (Moscow),45360.0,13969,LevnikovK.(Rus),Spartak Moscow,Lokomotiv Moscow,09,3,3,1,0,True,False,False,1.63,4.6,5.0,8,4,1
144,Krasnodar Stadium (Krasnodar),35179.0,0,BezborodovV.(Rus),Krasnodar,Khimki,09,3,3,3,1,True,False,False,1.65,4.3,5.0,15,4,5
145,Fisht Olympic Stadium (Sochi),47659.0,2610,BobrovskiyY.(Rus),Sochi,Fakel Voronezh,09,3,3,1,1,False,True,False,1.49,4.8,6.4,7,4,9
146,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,4244,SukhoyVasilievichA.(Rus),Pari NN,Orenburg,09,3,3,0,2,False,False,True,2.27,3.35,3.35,9,2,4
147,VTB Arena (Moscow),26121.0,0,KarasevS.(Rus),Dynamo Moscow,Zenit,09,3,3,0,2,False,False,True,5.6,4.4,1.59,8,4,6
148,Rostov Arena (Rostov),43472.0,0,KukuyanP.(Rus),FK Rostov,Krylya Sovetov,09,3,3,2,1,True,False,False,2.01,3.6,3.8,7,4,5
149,Luzhniki Arena (Moscow),8300.0,8395,ShadyhanovP.(Rus),Torpedo Moscow,CSKA Moscow,09,3,3,1,0,True,False,False,13.0,6.2,1.25,5,2,9
150,Rostov Arena (Rostov),43472.0,10797,KarasevS.(Rus),FK Rostov,Spartak Moscow,09,3,3,4,2,True,False,False,2.6,3.6,2.65,12,6,4
151,Gazprom Arena (Saint Petersburg),67800.0,0,TurbinE.(Rus),Zenit,Orenburg,09,3,3,8,0,True,False,False,1.14,9.0,18.0,11,2,5
152,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,19096,BezborodovV.(Rus),Fakel Voronezh,Lokomotiv Moscow,09,3,3,2,0,True,False,False,3.2,3.7,2.19,6,2,6
153,Yekaterinburg Arena (Yekaterinburg),25000.0,0,KukuyanP.(Rus),Ural,Torpedo Moscow,09,3,3,2,0,True,False,False,1.82,3.85,4.3,11,1,0
154,Akhmat-Arena (Groznyj),30597.0,7710,ShadyhanovP.(Rus),Akhmat Grozny,Pari NN,09,3,3,1,3,False,False,True,1.87,3.7,4.3,7,1,7
155,VEB Arena (Moscow),30457.0,0,IvanovS.(Rus),CSKA Moscow,Krasnodar,09,3,3,4,1,True,False,False,1.52,4.8,6.2,12,2,8
156,Arena Khimki (Khimki),18636.0,1161,MoskalevV.(Rus),Khimki,Krylya Sovetov,09,3,3,0,0,False,True,False,3.95,3.8,1.9,10,2,4
157,Arena Khimki (Khimki),18636.0,1093,BobrovskiyY.(Rus),Torpedo Moscow,FK Rostov,09,3,3,0,1,False,False,True,5.4,4.3,1.61,15,5,10
158,Otkrytiye Arena (Moscow),45360.0,14950,KukuyanP.(Rus),Spartak Moscow,Zenit,09,3,3,1,2,False,False,True,3.75,4.1,1.94,10,5,5
159,RZD Arena (Moscow),27084.0,7862,TurbinE.(Rus),Lokomotiv Moscow,Akhmat Grozny,09,3,3,1,2,False,False,True,2.2,3.6,3.25,12,4,7
160,Samara Arena (Samara),44918.0,8357,LyubimovA.(Rus),Krylya Sovetov,CSKA Moscow,09,3,3,0,1,False,False,True,3.2,3.5,2.25,10,8,5
161,VTB Arena (Moscow),26121.0,0,MeshkovV.(Rus),Dynamo Moscow,Ural,09,3,3,2,1,True,False,False,1.71,3.95,4.9,10,5,4
162,Krasnodar Stadium (Krasnodar),35179.0,27097,ShadyhanovP.(Rus),Krasnodar,Sochi,09,3,3,2,1,True,False,False,2.7,3.75,2.5,15,5,6
163,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,0,KukulyakE.(Rus),Pari NN,Fakel Voronezh,09,3,3,3,1,True,False,False,2.29,3.35,3.3,9,4,6
164,Rostov Arena (Rostov),43472.0,8616,MeshkovV.(Rus),FK Rostov,CSKA Moscow,08,3,3,0,0,False,True,False,2.95,3.55,2.37,9,4,2
165,Arena Khimki (Khimki),18636.0,2500,KukulyakE.(Rus),Torpedo Moscow,Krasnodar,08,3,3,1,4,False,False,True,3.6,3.6,2.07,17,4,3
166,RZD Arena (Moscow),27084.0,8872,LevnikovK.(Rus),Lokomotiv Moscow,Orenburg,08,3,3,5,1,True,False,False,1.8,3.95,4.3,19,4,4
167,Yekaterinburg Arena (Yekaterinburg),25000.0,8538,ShadyhanovP.(Rus),Ural,Zenit,08,3,3,0,4,False,False,True,15.0,6.8,1.21,12,9,4
168,Akhmat-Arena (Groznyj),30597.0,0,FrolovA.(Rus),Akhmat Grozny,Krylya Sovetov,08,3,3,1,2,False,False,True,2.19,3.6,3.25,11,7,5
169,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,20000,LyubimovA.(Rus),Fakel Voronezh,Spartak Moscow,08,3,3,1,4,False,False,True,4.8,4.1,1.69,16,3,5
170,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,6133,BobrovskiyY.(Rus),Pari NN,Dynamo Moscow,08,3,3,2,2,False,True,False,3.8,3.65,1.98,9,2,13
171,Krasnodar Stadium (Krasnodar),35179.0,21348,AmelinA.(Rus),Krasnodar,Orenburg,08,3,3,2,0,True,False,False,1.94,3.65,4.0,12,1,6
172,Gazprom Arena (Saint Petersburg),67800.0,33158,SukhoyVasilievichA.(Rus),Zenit,Torpedo Moscow,08,3,3,2,0,True,False,False,1.14,9.0,19.0,12,1,2
173,VEB Arena (Moscow),30457.0,13568,KarasevS.(Rus),CSKA Moscow,Akhmat Grozny,08,3,3,4,2,True,False,False,1.8,3.85,4.4,13,2,3
174,Rostov Arena (Rostov),43472.0,5837,BezborodovV.(Rus),FK Rostov,Sochi,08,3,3,2,2,False,True,False,2.49,3.55,2.8,14,3,9
175,VTB Arena (Moscow),26121.0,25249,KukuyanP.(Rus),Dynamo Moscow,Spartak Moscow,08,3,3,1,0,True,False,False,3.3,3.6,2.19,4,4,6
176,Arena Khimki (Khimki),18636.0,2320,SidenkovI.(Rus),Khimki,Lokomotiv Moscow,08,3,3,0,3,False,False,True,2.65,3.45,2.7,11,0,7
177,Yekaterinburg Arena (Yekaterinburg),25000.0,3333,LevnikovK.(Rus),Ural,Pari NN,08,3,3,0,1,False,False,True,2.17,3.3,3.6,7,1,6
178,Otkrytiye Arena (Moscow),45360.0,11559,MeshkovV.(Rus),Spartak Moscow,Sochi,08,3,3,3,0,True,False,False,1.93,3.95,3.7,8,4,2
179,Gazovik Stadium (Orenburg),4800.0,7152,LyubimovA.(Rus),Orenburg,Torpedo Moscow,08,3,3,1,0,True,False,False,2.25,3.45,3.25,10,5,5
180,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,5784,ShadyhanovP.(Rus),Pari NN,FK Rostov,08,3,3,3,4,False,False,True,4.0,3.4,2.02,9,1,5
181,Arena Khimki (Khimki),18636.0,1250,LevnikovK.(Rus),Khimki,Akhmat Grozny,08,3,3,1,3,False,False,True,2.85,3.15,2.7,15,4,3
182,VTB Arena (Moscow),26121.0,19430,KarasevS.(Rus),Dynamo Moscow,Krasnodar,08,3,3,0,0,False,True,False,1.69,4.1,4.8,5,1,6
183,Gazprom Arena (Saint Petersburg),67800.0,51174,KukuyanP.(Rus),Zenit,CSKA Moscow,08,3,3,2,1,True,False,False,1.54,4.6,6.2,10,2,7
184,RZD Arena (Moscow),27084.0,0,KukulyakE.(Rus),Lokomotiv Moscow,Krylya Sovetov,08,3,3,1,1,False,True,False,2.75,3.5,2.55,17,5,6
185,Rostov Arena (Rostov),43472.0,4458,KazartsevV.(Rus),FK Rostov,Orenburg,08,3,3,2,1,True,False,False,1.64,4.1,5.4,8,2,7
186,Fisht Olympic Stadium (Sochi),47659.0,3334,FrolovA.(Rus),Sochi,Pari NN,08,3,3,2,1,True,False,False,1.4,5.0,7.8,17,6,4
187,Samara Arena (Samara),44918.0,0,MeshkovV.(Rus),Krylya Sovetov,Dynamo Moscow,08,3,3,0,2,False,False,True,2.18,3.5,3.4,9,5,4
188,Arena Khimki (Khimki),18636.0,3050,AmelinA.(Rus),Torpedo Moscow,Khimki,08,3,3,1,3,False,False,True,3.2,3.3,2.33,17,1,5
189,Akhmat-Arena (Groznyj),30597.0,0,IvanovS.(Rus),Akhmat Grozny,Zenit,08,3,3,0,0,False,True,False,6.2,4.6,1.51,7,3,7
190,Krasnodar Stadium (Krasnodar),35179.0,0,BezborodovV.(Rus),Krasnodar,Lokomotiv Moscow,08,3,3,3,0,True,False,False,2.6,3.55,2.75,9,7,7
191,VEB Arena (Moscow),30457.0,0,BobrovskiyY.(Rus),CSKA Moscow,Fakel Voronezh,08,3,3,4,1,True,False,False,1.63,4.3,5.2,9,3,2
192,Rostov Arena (Rostov),43472.0,0,BezborodovV.(Rus),FK Rostov,Khimki,07,3,3,1,0,True,False,False,1.77,3.85,4.7,4,4,8
193,Samara Arena (Samara),44918.0,0,KazartsevV.(Rus),Krylya Sovetov,Torpedo Moscow,07,3,3,1,1,False,True,False,1.63,4.2,5.4,11,4,3
194,Otkrytiye Arena (Moscow),45360.0,0,ChistyakovA.(Rus),Spartak Moscow,Orenburg,07,3,3,4,1,True,False,False,1.4,5.2,7.6,12,6,5
195,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,0,MeshkovV.(Rus),Pari NN,CSKA Moscow,07,3,3,2,2,False,True,False,6.4,4.1,1.56,9,4,2
196,Fisht Olympic Stadium (Sochi),47659.0,3772,LyubimovA.(Rus),Sochi,Akhmat Grozny,07,3,3,2,1,True,False,False,2.07,3.55,3.6,13,5,8
197,Gazprom Arena (Saint Petersburg),67800.0,35163,KarasevS.(Rus),Zenit,Lokomotiv Moscow,07,3,3,5,0,True,False,False,1.27,6.6,11.0,15,3,2
198,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,0,IvanovS.(Rus),Fakel Voronezh,Dynamo Moscow,07,3,3,3,3,False,True,False,3.25,3.4,2.28,9,3,4
199,Akhmat-Arena (Groznyj),30597.0,8550,AmelinA.(Rus),Akhmat Grozny,Fakel Voronezh,07,3,3,2,1,True,False,False,1.81,3.8,4.4,13,2,3
200,RZD Arena (Moscow),27084.0,9435,SukhoyVasilievichA.(Rus),Lokomotiv Moscow,FK Rostov,07,3,3,2,2,False,True,False,2.7,3.3,2.7,9,2,10
201,VTB Arena (Moscow),26121.0,13844,BezborodovV.(Rus),Dynamo Moscow,Torpedo Moscow,07,3,3,4,0,True,False,False,1.55,4.4,6.0,8,6,1
202,Arena Khimki (Khimki),18636.0,1530,LyubimovA.(Rus),Khimki,Pari NN,07,3,3,3,0,True,False,False,2.12,3.35,3.7,8,3,3
203,Krasnodar Stadium (Krasnodar),35179.0,28738,LevnikovK.(Rus),Krasnodar,Spartak Moscow,07,3,3,1,4,False,False,True,3.3,3.55,2.26,13,2,5
204,Gazovik Stadium (Orenburg),4800.0,4956,BobrovskiyY.(Rus),Orenburg,Ural,07,3,3,3,0,True,False,False,2.26,3.25,3.4,11,3,5
205,VEB Arena (Moscow),30457.0,0,MoskalevV.(Rus),CSKA Moscow,Sochi,07,3,3,3,0,True,False,False,2.19,3.5,3.35,5,6,0
206,VTB Arena (Moscow),26121.0,15124,KukuyanP.(Rus),Dynamo Moscow,FK Rostov,07,3,3,1,1,False,True,False,1.94,3.6,4.2,8,2,4
207,Krasnodar Stadium (Krasnodar),35179.0,16125,KarasevS.(Rus),Krasnodar,Fakel Voronezh,07,3,3,2,2,False,True,False,1.71,3.9,5.0,18,1,3
208,RZD Arena (Moscow),27084.0,7379,KazartsevV.(Rus),Lokomotiv Moscow,Pari NN,07,3,3,1,1,False,True,False,1.87,3.65,4.4,7,7,5
209,Arena Khimki (Khimki),18636.0,2329,IvanovS.(Rus),Torpedo Moscow,Sochi,07,3,3,1,3,False,False,True,3.8,3.55,2.03,9,5,5
210,Akhmat-Arena (Groznyj),30597.0,8051,BezborodovV.(Rus),Akhmat Grozny,Spartak Moscow,07,3,3,1,1,False,True,False,2.55,3.25,2.95,8,2,9
211,Gazovik Stadium (Orenburg),4800.0,0,ShadyhanovP.(Rus),Orenburg,Krylya Sovetov,07,3,3,2,4,False,False,True,2.85,3.3,2.6,17,2,0
212,VEB Arena (Moscow),30457.0,0,MeshkovV.(Rus),CSKA Moscow,Ural,07,3,3,2,0,True,False,False,1.83,3.5,4.8,9,5,5
213,Tsentralnyi Stadion (Krasnoyarsk),15000.0,0,KarasevS.(Rus),Yenisey,Fakel Voronezh,06,3,3,0,1,False,False,True,3.3,3.45,2.22,8,2,4
214,Gazprom Arena (Saint Petersburg),67800.0,30594,ChistyakovA.(Rus),Zenit,Fakel Voronezh,06,3,3,1,0,True,False,False,2.19,3.3,3.55,4,2,1
215,Arena Khimki (Khimki),18636.0,663,AmelinA.(Rus),Khimki,Ural,05,3,3,0,3,False,False,True,3.95,3.6,1.96,7,5,5
216,RZD Arena (Moscow),27084.0,5999,AmelinA.(Rus),Lokomotiv Moscow,Fakel Voronezh,05,3,3,1,0,True,False,False,2.28,3.55,3.1,5,2,5
217,Yekaterinburg Arena (Yekaterinburg),25000.0,4790,ShadyhanovP.(Rus),Ural,Orenburg,05,3,3,2,1,True,False,False,1.91,3.8,3.95,6,1,5
218,Arena Khimki (Khimki),18636.0,1386,KarasevS.(Rus),Khimki,Dynamo Moscow,05,3,3,0,1,False,False,True,5.2,4.6,1.59,6,8,5
219,VTB Arena (Moscow),26121.0,11687,LyubimovA.(Rus),Dynamo Moscow,Fakel Voronezh,04,3,3,0,2,False,False,True,1.66,4.3,5.0,8,5,5
220,Arena Khimki (Khimki),18636.0,1453,LevnikovK.(Rus),Khimki,Torpedo Moscow,04,3,3,4,2,True,False,False,2.28,3.5,3.15,15,5,5
221,Samara Arena (Samara),44918.0,2853,ShafeevR.(Rus),Krylya Sovetov,Khimki,04,3,3,0,0,False,True,False,1.42,5.0,7.2,8,2,6
222,Stadion Eduarda Strelcova (Moscow),13450.0,1626,KarasevS.(Rus),Torpedo Moscow,Fakel Voronezh,04,3,3,2,0,True,False,False,3.3,3.35,2.29,8,4,3
223,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,6355,ShafeevR.(Rus),Pari NN,Lokomotiv Moscow,04,3,3,0,4,False,False,True,2.9,3.35,2.5,8,7,1
224,Gazovik Stadium (Orenburg),4800.0,4744,KukuyanP.(Rus),Orenburg,Spartak Moscow,03,3,3,2,0,True,False,False,3.35,3.9,2.07,8,4,6
225,Fisht Olympic Stadium (Sochi),47659.0,1711,ChebanS.(Rus),Sochi,Orenburg,03,3,3,0,4,False,False,True,1.72,4.2,4.6,6,1,7
226,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,10321,ChistyakovA.(Rus),Fakel Voronezh,Khimki,03,3,3,1,1,False,True,False,1.9,3.7,4.1,6,2,5
227,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,4133,AmelinA.(Rus),Pari NN,Akhmat Grozny,11,3,3,3,2,True,False,False,3.1,3.2,2.47,12,4,5
228,Arena Khimki (Khimki),18636.0,1766,ShadyhanovP.(Rus),Khimki,Orenburg,11,3,3,2,0,True,False,False,4.2,4.3,1.77,12,2,3
229,Gazovik Stadium (Orenburg),4800.0,3482,KukulyakE.(Rus),Orenburg,Fakel Voronezh,10,3,3,4,1,True,False,False,1.77,4.0,4.5,14,2,8
230,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,4368,KazartsevV.(Rus),Pari NN,Krasnodar,10,3,3,0,2,False,False,True,3.3,3.35,2.28,12,3,8
231,Rostov Arena (Rostov),43472.0,0,TurbinE.(Rus),FK Rostov,Ural,10,3,3,1,2,False,False,True,1.9,3.8,3.95,5,1,8
232,Yekaterinburg Arena (Yekaterinburg),25000.0,2487,KarasevS.(Rus),Ural,Khimki,10,3,3,2,1,True,False,False,1.67,4.1,5.0,7,2,2
233,Gazovik Stadium (Orenburg),4800.0,0,LyubimovA.(Rus),Orenburg,Sochi,10,3,3,4,1,True,False,False,2.9,3.65,2.39,15,2,5
234,Yekaterinburg Arena (Yekaterinburg),25000.0,0,KukulyakE.(Rus),Ural,Akhmat Grozny,09,3,3,1,2,False,False,True,2.6,3.3,2.8,12,4,3
